"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FOSB",0,2.24665234315093,0.771,0.46,0
"CD52",0,-1.57445123843407,0.639,0.95,0
"DGKA",0,-2.70512787656902,0.105,0.415,0
"HNMT",0,8.43875924346767,0.31,0.001,0
"FKBP1A",0,1.61732554783273,0.747,0.438,0
"PRDX3",0,2.1188996184754,0.415,0.107,0
"PSMA4",0,1.65135812745458,0.513,0.206,0
"PLXNB2",0,5.5238152651397,0.316,0.009,0
"MTPN",0,1.459546705872,0.533,0.227,0
"LAMTOR1",0,1.49151628579635,0.639,0.333,0
"YBX3",0,4.31646615241088,0.325,0.019,0
"ITK",0,-3.89797348786624,0.041,0.346,0
"HERPUD1",0,1.31030319150131,0.558,0.254,0
"UBE2D1",0,2.23017956467719,0.409,0.105,0
"NUMB",0,2.37680610405969,0.386,0.082,0
"IFNGR1",0,2.61706411271713,0.372,0.069,0
"LTA4H",0,1.82115752635938,0.494,0.192,0
"CDA",0,8.27152456079373,0.302,0.001,0
"SAT2",0,1.60197581713833,0.49,0.189,0
"TIMP2",0,5.90574617183117,0.307,0.006,0
"NFKBIZ",0,1.55430809978116,0.588,0.288,0
"GZMM",0,-2.53055309992638,0.074,0.374,0
"ARPC5",0,1.38200695048199,0.704,0.404,0
"MFSD1",0,2.13403597018728,0.397,0.098,0
"LAMTOR2",0,1.6908016735561,0.477,0.179,0
"PRKCB",0,1.69885246752396,0.442,0.145,0
"RNH1",0,1.45445047477953,0.581,0.284,0
"RNASE6",0,3.28249597438865,0.318,0.021,0
"PARVG",0,1.7037003952781,0.439,0.143,0
"SEPT6",0,-1.82670171430853,0.252,0.547,0
"SCML4",0,-3.48591914187564,0.05,0.345,0
"ATG16L2",0,1.92723146123998,0.419,0.124,0
"CSTB",0,1.62658535574792,0.762,0.467,0
"ENY2",0,1.38389187649119,0.569,0.274,0
"CD300A",0,3.07189313740845,0.336,0.042,0
"GLTSCR2",0,-1.6244640807588,0.563,0.857,0
"SCIMP",0,6.81942158578189,0.296,0.003,0
"STAB1",0,6.99491927946492,0.295,0.003,0
"MSRB1",0,3.69581948802749,0.321,0.029,0
"SNHG8",0,-1.57103964587953,0.375,0.666,0
"COTL1",0,2.14284637939262,0.906,0.615,0
"DYNLT1",0,1.57354227369736,0.478,0.187,0
"PRKCD",0,3.00357273162175,0.334,0.044,0
"GBP1",0,1.89163302186588,0.436,0.147,0
"GAS7",0,6.59078763723514,0.293,0.004,0
"UBXN11",0,1.49245019564889,0.446,0.158,0
"FOSL2",0,3.55918790864381,0.322,0.034,0
"SULT1A1",0,2.9511383278372,0.335,0.047,0
"LTBR",0,6.81935967582006,0.291,0.003,0
"PTP4A2",0,1.35922787714077,0.534,0.247,0
"NOTCH2",0,2.6930338225104,0.338,0.051,0
"PPT1",0,1.60099459659312,0.476,0.189,0
"SEC11A",0,1.2952131918448,0.632,0.346,0
"MOB1A",0,1.38377427660858,0.51,0.225,0
"VAMP8",0,1.39579287104038,0.756,0.471,0
"CMTM6",0,1.21169318185735,0.513,0.228,0
"MANBA",0,2.0761936406727,0.375,0.09,0
"CYBA",0,1.82296369699172,0.878,0.593,0
"ARAP1",0,2.39973698115069,0.361,0.076,0
"PRDX2",0,-1.80992352832505,0.214,0.498,0
"CAST",0,1.18668340328427,0.602,0.318,0
"BST2",0,1.21710871309293,0.612,0.328,0
"TGFB1",0,1.33402912339539,0.512,0.229,0
"BST1",0,7.37731624546751,0.286,0.003,0
"CLEC4E",0,8.72190673811802,0.284,0.001,0
"VASP",0,1.512678401733,0.479,0.196,0
"COMT",0,1.69429285366415,0.428,0.146,0
"DYNLL1",0,1.39045660436877,0.586,0.304,0
"FES",0,5.75251475347478,0.289,0.007,0
"IFI6",0,1.65036139164459,0.522,0.241,0
"FCGR1B",0,8.33837166012139,0.281,0.001,0
"ITGB2",0,1.74304351582907,0.849,0.569,0
"TMEM176A",0,7.64458294287739,0.282,0.002,0
"SOD1",0,-1.27124644843072,0.47,0.749,0
"TLN1",0,1.49312813960351,0.437,0.159,0
"H2AFJ",0,1.48838174922831,0.486,0.208,0
"RP5-1171I10.5",0,1.57519636551137,0.403,0.125,0
"NINJ1",0,1.75922261017642,0.444,0.167,0
"PARP14",0,2.16966338583138,0.351,0.074,0
"NDUFB1",0,1.30220257990869,0.688,0.412,0
"ITGAM",0,5.09248358978763,0.285,0.009,0
"HMGN1",0,-1.08953106577037,0.412,0.687,0
"IRF7",0,0.865315112421549,0.46,0.185,0
"ITGAX",0,6.26761855102247,0.279,0.004,0
"RBM47",0,5.78209559948529,0.282,0.007,0
"TPI1",0,1.44797850807417,0.809,0.535,0
"ANPEP",0,8.28364755814058,0.275,0.001,0
"TPM4",0,1.54029334171036,0.43,0.156,0
"SUPT4H1",0,1.3454080940558,0.495,0.222,0
